id,room_type,category,street,city,prefecture,cost,size,deposit,key_money,floor,year,station,minute,created_at
1,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
2,1LDK,Apartment,Ryusen,Taito-ku,Tokyo,174000.0,41.4,159000.0,0.0,8,2020,Minowa,6,2025-01-20 16:17:51
3,2DK,Apartment,Kiba,Koto-ku,Tokyo,187000.0,36.92,177000.0,0.0,12,2024,Kiba,2,2025-01-20 16:17:51
4,1LDK,Apartment,Kamimaruko sannocho,Kawasaki-shi Nakahara-ku,Kanagawa,159000.0,42.75,146000.0,146000.0,7,1968,Musashi-kosugi,10,2025-01-20 16:17:51
5,1LDK,Town house,Kamiikedai,Ota-ku,Tokyo,350550.0,97.61,330000.0,0.0,1,2012,Nagahara,9,2025-01-20 16:17:51
6,1SLDK,Apartment,Minamiaoyama,Minato-ku,Tokyo,380550.0,56.6,0.0,0.0,2,2024,Omotesando,7,2025-01-20 16:17:51
7,1DK,Apartment,Minato,Chuo-ku,Tokyo,159000.0,25.54,144000.0,0.0,8,2023,Hacchoubori,5,2025-01-20 16:17:51
8,1R,Apartment,Minamidai,Nakano-ku,Tokyo,80000.0,16.47,78000.0,0.0,1,1993,Nakanoshinbashi,10,2025-01-20 16:17:51
9,1K,Apartment,Nishiwaseda(sonota),Shinjuku-ku,Tokyo,158000.0,26.12,148000.0,0.0,10,2021,Nishiwaseda,1,2025-01-20 16:17:51
10,1SLDK,Apartment,Oyama kanaicho,Itabashi-ku,Tokyo,150000.0,40.5,145000.0,0.0,4,1980,Oyama,8,2025-01-20 16:17:51
11,1R,Apartment,Hongo,Bunkyo-ku,Tokyo,70000.0,15.57,70000.0,0.0,3,1983,Toudai Mae,6,2025-01-20 16:17:51
12,1K,Apartment,Ikebukurohoncho,Toshima-ku,Tokyo,175800.0,20.46,0.0,0.0,2,2019,Kita Ikebukuro,7,2025-01-20 16:17:51
13,1SLDK,Apartment,Higashimukojima,Sumida-ku,Tokyo,246030.0,45.76,0.0,0.0,4,2023,Hikifune,6,2025-01-20 16:17:51
14,1LDK,Apartment,Akatsuka,Itabashi-ku,Tokyo,195000.0,44.0,190000.0,0.0,2,2023,Shimo Akatsuka,8,2025-01-20 16:17:51
15,1K,Apartment,Shinjuku,Shinjuku-ku,Tokyo,176000.0,25.23,176000.0,0.0,13,2023,Higashi-Shinjuku,2,2025-01-20 16:17:51
16,1LDK,Apartment,Shimura,Itabashi-ku,Tokyo,168000.0,40.96,0.0,0.0,5,2024,Shimura San Choume,2,2025-01-20 16:17:51
17,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
18,2LDK,Apartment,Egota,Nakano-ku,Tokyo,233000.0,59.43,218000.0,0.0,2,2018,Shin Egota,10,2025-01-20 16:17:51
19,1LDK,Apartment,Komazawa,Setagaya-ku,Tokyo,180000.0,50.25,0.0,0.0,3,2024,Komazawa-daigaku,7,2025-01-20 16:17:51
20,1K,Apartment,Taishido,Setagaya-ku,Tokyo,176000.0,35.64,0.0,0.0,7,2004,Sangenjaya,8,2025-01-20 16:17:51
